r1084168.fit  3.86  1.27 0.084   125.2 from 1151 sources of uvex_6487 r
r1084169.fit  5.07  1.67 0.056    89.7 from  95 sources of uvex_6487 U
r1084170.fit  4.10  1.35 0.053   107.1 from 731 sources of uvex_6487 g
r1084171.fit  4.37  1.44 0.098   141.5 from 846 sources of uvex_6487o r
r1084172.fit  5.00  1.65 0.060    91.9 from 106 sources of uvex_6487o U
r1084173.fit  3.74  1.23 0.061   103.7 from 753 sources of uvex_6487o g
r1084174.fit  3.62  1.19 0.052   138.0 from 837 sources of uvex_6493 r
r1084175.fit  4.41  1.46 0.063    86.0 from  90 sources of uvex_6493 U
r1084176.fit  3.44  1.14 0.048   102.4 from 536 sources of uvex_6493 g
r1084177.fit  3.63  1.20 0.061   142.0 from 755 sources of uvex_6493o r
r1084178.fit  4.58  1.51 0.042    90.4 from  60 sources of uvex_6493o U
r1084179.fit  3.72  1.23 0.052    99.8 from 406 sources of uvex_6493o g
r1084180.fit  4.16  1.37 0.084   144.7 from 768 sources of uvex_6500 r
r1084181.fit  4.95  1.63 0.102    85.0 from  85 sources of uvex_6500 U
r1084182.fit  4.29  1.42 0.084   104.1 from 507 sources of uvex_6500 g
r1084183.fit  4.33  1.43 0.119   149.7 from 504 sources of uvex_6500o r
r1084184.fit  5.40  1.78 0.086    91.5 from  66 sources of uvex_6500o U
r1084185.fit  4.50  1.49 0.059    99.4 from 378 sources of uvex_6500o g
r1084186.fit  4.08  1.35 0.064   143.3 from 378 sources of uvex_6515 r
r1084187.fit  4.70  1.55 0.059    87.9 from  31 sources of uvex_6515 U
r1084188.fit  4.23  1.40 0.049   100.4 from 178 sources of uvex_6515 g
r1084189.fit  4.57  1.51 0.081   157.4 from 640 sources of uvex_6520 r
r1084190.fit  5.05  1.67 0.069    95.1 from  78 sources of uvex_6520 U
r1084191.fit  4.44  1.47 0.057   111.5 from 400 sources of uvex_6520 g
r1084192.fit  3.73  1.23 0.063   141.0 from 1014 sources of uvex_6520o r
r1084193.fit  5.27  1.74 0.050    98.7 from  72 sources of uvex_6520o U
r1084194.fit  4.31  1.42 0.053   106.7 from 458 sources of uvex_6520o g
r1084195.fit  3.80  1.25 0.052   138.0 from 597 sources of uvex_6529 r
r1084196.fit  5.45  1.80 0.067    91.3 from  39 sources of uvex_6529 U
r1084197.fit  5.25  1.73 0.044   103.8 from 191 sources of uvex_6529 g
r1084198.fit  3.71  1.22 0.050   150.6 from 670 sources of uvex_6529o r
r1084199.fit  5.46  1.80 0.059    88.1 from  43 sources of uvex_6529o U
r1084200.fit  4.26  1.41 0.050   106.7 from 300 sources of uvex_6529o g
r1084201.fit  3.84  1.27 0.045   159.6 from 488 sources of uvex_6530 r
r1084202.fit  5.50  1.82 0.059    92.0 from  30 sources of uvex_6530 U
r1084203.fit  4.52  1.49 0.045   110.4 from 191 sources of uvex_6530 g
r1084204.fit  3.62  1.19 0.072    63.9 from  95 sources of WOLF1346 r
